id,temperatura,presion,altura,timestamp
1,20.4700,81.4286,160.9556,2025-11-23 23:11:00
2,20.4700,81.4286,160.9556,2025-11-23 23:11:00
3,20.4700,81.4284,160.9725,2025-11-23 23:11:00
4,20.4800,81.4289,160.9199,2025-11-23 23:11:00
5,20.4800,81.4310,160.7029,2025-11-23 23:11:00
6,20.4800,81.4310,160.7029,2025-11-23 23:11:00
7,20.4700,81.4300,160.8055,2025-11-23 23:11:00
8,20.4700,81.4286,160.9561,2025-11-23 23:11:00
9,20.4700,81.4312,160.6891,2025-11-23 23:11:00
10,20.4700,81.4287,160.9393,2025-11-23 23:11:00
11,20.4700,81.4287,160.9393,2025-11-23 23:11:00
12,20.4700,81.4276,161.0562,2025-11-23 23:11:00
13,20.4700,81.4292,160.8893,2025-11-23 23:11:00
14,20.4700,81.4278,161.0394,2025-11-23 23:11:00
15,20.4700,81.4278,161.0394,2025-11-23 23:11:00
16,20.4700,81.4294,160.8724,2025-11-23 23:11:00
17,20.4800,81.4268,161.1369,2025-11-23 23:11:00
18,20.4700,81.4296,160.8555,2025-11-23 23:11:01
19,20.4700,81.4296,161.0562,2025-11-23 23:11:01
20,20.4700,81.4278,161.0394,2025-11-23 23:11:01
21,20.4700,81.4294,160.8724,2025-11-23 23:11:01
22,20.4800,81.4305,160.7529,2025-11-23 23:11:01
23,20.4800,81.4312,160.6860,2025-11-23 23:11:01
24,20.4800,81.4312,160.6860,2025-11-23 23:11:01
25,20.4700,81.4291,160.9051,2025-11-23 23:11:01
26,20.4800,81.4280,161.0200,2025-11-23 23:11:01
27,20.4700,81.4305,160.7555,2025-11-23 23:11:01
28,20.4700,81.4281,161.0062,2025-11-23 23:11:01
29,20.4700,81.4281,161.0062,2025-11-23 23:11:01
30,20.4800,81.4299,160.8203,2025-11-23 23:11:01
31,20.4800,81.4300,160.8040,2025-11-23 23:11:01
32,20.4800,81.4306,160.7509,2025-11-23 23:11:01
33,20.4800,81.4306,160.7509,2025-11-23 23:11:01
34,20.4800,81.4301,160.8004,2025-11-23 23:11:01
35,20.4800,81.4260,161.2181,2025-11-23 23:11:01
36,20.4800,81.4288,160.9342,2025-11-23 23:11:01
37,20.4800,81.4288,160.9342,2025-11-23 23:11:02
38,20.4800,81.4278,161.0343,2025-11-23 23:11:02
39,20.4800,81.4286,160.9505,2025-11-23 23:11:02
40,20.4900,81.4282,160.9985,2025-11-23 23:11:02
41,20.4800,81.4306,160.7509,2025-11-23 23:11:02
42,20.4900,81.4299,160.8152,2025-11-23 23:11:02
43,20.4900,81.4299,160.8152,2025-11-23 23:11:02
44,20.4900,81.4293,160.8811,2025-11-23 23:11:02
45,20.4800,81.4262,161.2038,2025-11-23 23:11:02
46,20.4900,81.4264,161.1819,2025-11-23 23:11:02
47,20.4900,81.4264,161.1819,2025-11-23 23:11:02
48,20.4900,81.4316,160.6482,2025-11-23 23:11:02
49,20.4900,81.4285,160.9648,2025-11-23 23:11:02
50,20.4900,81.4278,161.0317,2025-11-23 23:11:02
51,20.4900,81.4264,161.1819,2025-11-23 23:11:02
52,20.4900,81.4264,161.1819,2025-11-23 23:11:02
53,20.4900,81.4286,160.9480,2025-11-23 23:11:02
54,20.4900,81.4278,161.0317,2025-11-23 23:11:02
55,20.4900,81.4282,160.9991,2025-11-23 23:11:02
56,20.4900,81.4282,160.9991,2025-11-23 23:11:02
57,20.4900,81.4299,160.8152,2025-11-23 23:11:03
58,20.4900,81.4283,160.9822,2025-11-23 23:11:03
59,20.4900,81.4287,160.9454,2025-11-23 23:11:03
60,20.4900,81.4287,160.9454,2025-11-23 23:11:03
61,20.4900,81.4311,160.6962,2025-11-23 23:11:03
62,20.4900,81.4267,161.1492,2025-11-23 23:11:03
63,20.4900,81.4259,161.2299,2025-11-23 23:11:03
64,20.4900,81.4259,161.2299,2025-11-23 23:11:03
65,20.4900,81.4282,160.9960,2025-11-23 23:11:03
66,20.4900,81.4298,160.8295,2025-11-23 23:11:03
67,20.4900,81.4274,161.0797,2025-11-23 23:11:03
68,20.4900,81.4274,161.0797,2025-11-23 23:11:03
69,20.5000,81.4306,160.7427,2025-11-23 23:11:03
70,20.4900,81.4258,161.2462,2025-11-23 23:11:03
71,20.5000,81.4274,161.0767,2025-11-23 23:11:03
72,20.4900,81.4292,160.8959,2025-11-23 23:11:03
73,20.4900,81.4292,160.8959,2025-11-23 23:11:03
74,20.4900,81.4256,161.2636,2025-11-23 23:11:03
75,20.5000,81.4297,160.8433,2025-11-23 23:11:03
76,20.4900,81.4303,160.7800,2025-11-23 23:11:04
77,20.5000,81.4290,160.9102,2025-11-23 23:11:04
78,20.5000,81.4308,160.7263,2025-11-23 23:11:04
79,20.5000,81.4287,160.9434,2025-11-23 23:11:04
80,20.5000,81.4311,160.6937,2025-11-23 23:11:04
81,20.5000,81.4311,160.6937,2025-11-23 23:11:04
82,20.5000,81.4316,160.6431,2025-11-23 23:11:04
83,20.5000,81.4274,161.0767,2025-11-23 23:11:04
84,20.5000,81.4279,161.0261,2025-11-23 23:11:04
85,20.5000,81.4279,161.0261,2025-11-23 23:11:04
86,20.5000,81.4271,161.1104,2025-11-23 23:11:04
87,20.5000,81.4276,161.0603,2025-11-23 23:11:04
88,20.5000,81.4255,161.2769,2025-11-23 23:11:04
89,20.5000,81.4255,161.2769,2025-11-23 23:11:04
90,20.5000,81.4274,161.0767,2025-11-23 23:11:04
91,20.5000,81.4271,161.1104,2025-11-23 23:11:04
92,20.4900,81.4246,161.3632,2025-11-23 23:11:04
93,20.5000,81.4264,161.1763,2025-11-23 23:11:04
94,20.5000,81.4264,161.1763,2025-11-23 23:11:05
95,20.5000,81.4266,161.1604,2025-11-23 23:11:05
96,20.5000,81.4280,161.0103,2025-11-23 23:11:05
97,20.5000,81.4280,161.0103,2025-11-23 23:11:05
98,20.5000,81.4250,161.3274,2025-11-23 23:11:05
99,20.5000,81.4276,161.0603,2025-11-23 23:11:05
100,20.5000,81.4250,161.3274,2025-11-23 23:11:05
101,20.5000,81.4263,161.1941,2025-11-23 23:11:05
102,20.5000,81.4263,161.1941,2025-11-23 23:11:05
103,20.5000,81.4258,161.2442,2025-11-23 23:11:05
104,20.5000,81.4269,161.1262,2025-11-23 23:11:05
105,20.5000,81.4274,161.0767,2025-11-23 23:11:05
106,20.5000,81.4274,161.0767,2025-11-23 23:11:05
107,20.5000,81.4268,161.1441,2025-11-23 23:11:05
108,20.5000,81.4292,160.8908,2025-11-23 23:11:05
109,20.5000,81.4289,160.9240,2025-11-23 23:11:05
110,20.5000,81.4289,160.9240,2025-11-23 23:11:05
111,20.5000,81.4259,161.2273,2025-11-23 23:11:05
112,20.5000,81.4284,160.9766,2025-11-23 23:11:05
113,20.5000,81.4268,161.1441,2025-11-23 23:11:06
114,20.5000,81.4269,161.1262,2025-11-23 23:11:06
115,20.5000,81.4268,161.1441,2025-11-23 23:11:06
116,20.5000,81.4243,161.3943,2025-11-23 23:11:06
117,20.5000,81.4243,161.2100,2025-11-23 23:11:06
118,20.5000,81.4258,161.2442,2025-11-23 23:11:06
119,20.5000,81.4284,160.9740,2025-11-23 23:11:06
120,20.5000,81.4290,160.9102,2025-11-23 23:11:06
121,20.5000,81.4284,160.9771,2025-11-23 23:11:06
122,20.5000,81.4284,160.9771,2025-11-23 23:11:06
123,20.5000,81.4264,161.1773,2025-11-23 23:11:06
124,20.5000,81.4274,161.0746,2025-11-23 23:11:06
125,20.5000,81.4274,161.0746,2025-11-23 23:11:06
126,20.5000,81.4274,161.0746,2025-11-23 23:11:06
127,20.5000,81.4274,161.0767,2025-11-23 23:11:06
128,20.5000,81.4279,161.0251,2025-11-23 23:11:06
129,20.5000,81.4280,161.0103,2025-11-23 23:11:06
130,20.5000,81.4263,161.1579,2025-11-23 23:11:06
131,20.5000,81.4266,161.1579,2025-11-23 23:11:06
132,20.5000,81.4281,161.0072,2025-11-23 23:11:06
133,20.5000,81.4281,161.0072,2025-11-23 23:11:07
134,20.5000,81.4263,161.1941,2025-11-23 23:11:07
135,20.5000,81.4258,161.2411,2025-11-23 23:11:07
136,20.5000,81.4290,160.9102,2025-11-23 23:11:07
137,20.5000,81.4247,161.3575,2025-11-23 23:11:07
138,20.5000,81.4247,161.1584,2025-11-23 23:11:07
139,20.5000,81.4266,161.1584,2025-11-23 23:11:07
140,20.5100,81.4253,161.2896,2025-11-23 23:11:07
141,20.5100,81.4255,161.2717,2025-11-23 23:11:07
142,20.5100,81.4232,161.5056,2025-11-23 23:11:07
143,20.5100,81.4232,161.5056,2025-11-23 23:11:07
144,20.5100,81.4266,161.1553,2025-11-23 23:11:07
145,20.5100,81.4279,161.0215,2025-11-23 23:11:07
146,20.5000,81.4256,161.2580,2025-11-23 23:11:07
147,20.5000,81.4256,161.2580,2025-11-23 23:11:07
148,20.5100,81.4237,161.4551,2025-11-23 23:11:07
149,20.5100,81.4245,161.3729,2025-11-23 23:11:07
150,20.5100,81.4250,161.3223,2025-11-23 23:11:07
151,20.5100,81.4289,160.9214,2025-11-23 23:11:08
152,20.5100,81.4289,160.9214,2025-11-23 23:11:08
153,20.5100,81.4283,160.9858,2025-11-23 23:11:08
154,20.5100,81.4273,161.0884,2025-11-23 23:11:08
155,20.5100,81.4273,161.0884,2025-11-23 23:11:08
156,20.5100,81.4247,161.3530,2025-11-23 23:11:08
157,20.5100,81.4301,160.8024,2025-11-23 23:11:08
158,20.5100,81.4231,161.5225,2025-11-23 23:11:08
159,20.5100,81.4231,161.5225,2025-11-23 23:11:08
160,20.5100,81.4242,161.4035,2025-11-23 23:11:08
161,20.5100,81.4239,161.4362,2025-11-23 23:11:08
162,20.5200,81.4241,161.4173,2025-11-23 23:11:08
163,20.5200,81.4241,161.4347,2025-11-23 23:11:08
164,20.5200,81.4239,161.4347,2025-11-23 23:11:08
165,20.5200,81.4278,161.0338,2025-11-23 23:11:08
166,20.5200,81.4236,161.4678,2025-11-23 23:11:08
167,20.5200,81.4254,161.2840,2025-11-23 23:11:08
168,20.5200,81.4254,161.2840,2025-11-23 23:11:08
169,20.5200,81.4268,161.1339,2025-11-23 23:11:08
170,20.5200,81.4267,161.1507,2025-11-23 23:11:08
171,20.5200,81.4268,161.1339,2025-11-23 23:11:09
172,20.5200,81.4277,161.0506,2025-11-23 23:11:09
173,20.5200,81.4275,161.0665,2025-11-23 23:11:09
174,20.5200,81.4294,160.8668,2025-11-23 23:11:09
175,20.5200,81.4296,160.8504,2025-11-23 23:11:09
176,20.5200,81.4296,160.8504,2025-11-23 23:11:09
177,20.5100,81.4281,161.0026,2025-11-23 23:11:09
178,20.5100,81.4278,161.0363,2025-11-23 23:11:09
179,20.5100,81.4259,161.2360,2025-11-23 23:11:09
180,20.5100,81.4259,161.2360,2025-11-23 23:11:09
181,20.5100,81.4273,161.0859,2025-11-23 23:11:09
182,20.5200,81.4239,161.4347,2025-11-23 23:11:09
183,20.5200,81.4265,161.1665,2025-11-23 23:11:09
184,20.5200,81.4265,161.1665,2025-11-23 23:11:09
185,20.5100,81.4265,161.1691,2025-11-23 23:11:09
186,20.5100,81.4263,161.1860,2025-11-23 23:11:09
187,20.5100,81.4254,161.2866,2025-11-23 23:11:09
188,20.5100,81.4260,161.2202,2025-11-23 23:11:09
189,20.5100,81.4260,161.2202,2025-11-23 23:11:09
190,20.5100,81.4265,161.1696,2025-11-23 23:11:10
191,20.5100,81.4276,161.0552,2025-11-23 23:11:10
192,20.5100,81.4276,161.0552,2025-11-23 23:11:10
193,20.5100,81.4270,161.1211,2025-11-23 23:11:10
194,20.5100,81.4299,160.8213,2025-11-23 23:11:10
195,20.5100,81.4286,160.9556,2025-11-23 23:11:10
196,20.5100,81.4286,160.9556,2025-11-23 23:11:10
197,20.5100,81.4280,161.0200,2025-11-23 23:11:10
198,20.5100,81.4257,161.2529,2025-11-23 23:11:10
199,20.5100,81.4280,161.0200,2025-11-23 23:11:10
200,20.5100,81.4281,161.0026,2025-11-23 23:11:10
201,20.5100,81.4281,161.0026,2025-11-23 23:11:10
202,20.5100,81.4268,161.1359,2025-11-23 23:11:10
203,20.5200,81.4275,161.0665,2025-11-23 23:11:11
204,20.5100,81.4273,161.0859,2025-11-23 23:11:11
205,20.5100,81.4270,161.1201,2025-11-23 23:11:12
206,20.5200,81.4273,161.0833,2025-11-23 23:11:12
207,20.5200,81.4273,161.0833,2025-11-23 23:11:12
208,20.5200,81.4259,161.2334,2025-11-23 23:11:12
209,20.5200,81.4281,161.0001,2025-11-23 23:11:12
210,20.5100,81.4225,161.5868,2025-11-23 23:11:12
211,20.5100,81.4225,161.3121,2025-11-23 23:11:12
