id,temperatura,presion,altura,timestamp
1,25.1485,3444.218,81.7456,2025-11-05 14:36:05.000
2,25.166,3335.0915,80.158,2025-11-05 14:36:05.010
3,25.2068,3407.272,81.3136,2025-11-05 14:36:05.020
4,25.1332,3445.3212,82.4783,2025-11-05 14:36:05.030
5,25.0772,3418.1055,80.8472,2025-11-05 14:36:05.040
6,25.1122,3431.1692,81.6925,2025-11-05 14:36:05.050
7,25.2929,3420.7344,80.4415,2025-11-05 14:36:05.060
8,25.2209,3420.1576,80.9152,2025-11-05 14:36:05.070
9,25.3467,3485.4487,81.0954,2025-11-05 14:36:05.080
10,25.2586,3362.1918,81.9584,2025-11-05 14:36:05.090
11,25.3255,3472.2823,80.49,2025-11-05 14:36:05.100
12,25.1275,3397.9634,80.7179,2025-11-05 14:36:05.110
13,25.1188,3353.0829,82.4486,2025-11-05 14:36:05.120
14,25.1768,3428.2036,81.0818,2025-11-05 14:36:05.130
15,25.3826,3314.353,81.5904,2025-11-05 14:36:05.140
16,25.1113,3384.5809,80.2017,2025-11-05 14:36:05.150
17,25.148,3386.8842,81.9101,2025-11-05 14:36:05.160
18,25.168,3443.94,80.401,2025-11-05 14:36:05.170
19,25.235,3440.1282,80.9093,2025-11-05 14:36:05.180
20,25.0809,3364.6845,82.1239,2025-11-05 14:36:05.190
21,25.0025,3440.8329,81.3842,2025-11-05 14:36:05.200
22,25.1418,3364.3127,82.3053,2025-11-05 14:36:05.210
23,25.3069,3464.2032,81.6526,2025-11-05 14:36:05.220
24,25.1386,3440.7219,82.1145,2025-11-05 14:36:05.230
25,24.9901,3422.8559,81.7301,2025-11-05 14:36:05.240
26,25.3643,3402.9591,80.9399,2025-11-05 14:36:05.250
27,25.3343,3416.4704,81.0673,2025-11-05 14:36:05.260
28,25.2975,3389.8208,81.2589,2025-11-05 14:36:05.270
29,25.2122,3418.3801,81.7868,2025-11-05 14:36:05.280
30,25.3282,3438.8412,81.7656,2025-11-05 14:36:05.290
31,25.0275,3438.2564,80.8607,2025-11-05 14:36:05.300
32,25.2525,3429.5979,81.484,2025-11-05 14:36:05.310
33,24.9909,3446.824,81.8288,2025-11-05 14:36:05.320
34,25.3951,3458.3671,81.4423,2025-11-05 14:36:05.330
35,25.2512,3353.898,82.4623,2025-11-05 14:36:05.340
36,25.0715,3428.2086,81.4198,2025-11-05 14:36:05.350
37,25.1206,3386.1694,81.081,2025-11-05 14:36:05.360
38,25.2518,3396.2314,82.0982,2025-11-05 14:36:05.370
39,25.313,3433.7591,81.0411,2025-11-05 14:36:05.380
