id,temperatura,presion,altura,timestamp
1,25.185,3438.8686,161.0872,2025-11-23 17:55:19.000
2,25.2016,3409.8076,161.2912,2025-11-23 17:55:19.010
3,25.2218,3429.5515,162.1336,2025-11-23 17:55:19.020
4,25.1911,3419.9741,162.0635,2025-11-23 17:55:19.030
5,25.1756,3421.9093,161.8433,2025-11-23 17:55:19.040
6,25.2276,3420.9177,161.9626,2025-11-23 17:55:19.050
7,25.2232,3410.6676,162.1646,2025-11-23 17:55:19.060
8,25.1993,3424.567,161.4004,2025-11-23 17:55:19.070
9,25.1945,3418.1466,162.7133,2025-11-23 17:55:19.080
10,25.1932,3420.3965,161.7891,2025-11-23 17:55:19.090
11,25.2522,3400.3458,161.4387,2025-11-23 17:55:19.100
12,25.1856,3438.9683,161.3404,2025-11-23 17:55:19.110
13,25.1782,3416.9915,162.7036,2025-11-23 17:55:19.120
14,25.2265,3438.352,161.8054,2025-11-23 17:55:19.130
15,25.2104,3401.0497,161.7905,2025-11-23 17:55:19.140
16,25.181,3421.6682,161.8481,2025-11-23 17:55:19.150
17,25.1868,3427.259,161.5359,2025-11-23 17:55:19.160
18,25.1721,3407.1248,161.7452,2025-11-23 17:55:19.170
19,25.2055,3428.1466,161.7771,2025-11-23 17:55:19.180
20,25.1872,3441.8501,161.5933,2025-11-23 17:55:19.190
21,25.2216,3425.8979,160.7412,2025-11-23 17:55:19.200
22,25.2022,3412.63,161.8439,2025-11-23 17:55:19.210
23,25.2097,3409.6851,161.0671,2025-11-23 17:55:19.220
24,25.2206,3407.9335,160.5392,2025-11-23 17:55:19.230
25,25.194,3412.7102,161.9291,2025-11-23 17:55:19.240
26,25.2091,3427.5613,161.4669,2025-11-23 17:55:19.250
27,25.2175,3443.1517,161.87,2025-11-23 17:55:19.260
28,25.1931,3423.1629,162.3856,2025-11-23 17:55:19.270
29,25.199,3441.6383,161.3563,2025-11-23 17:55:19.280
30,25.214,3420.0582,161.9436,2025-11-23 17:55:19.290
31,25.1957,3404.6459,161.479,2025-11-23 17:55:19.300
32,25.2114,3420.191,161.9633,2025-11-23 17:55:19.310
33,25.1823,3412.2737,161.1114,2025-11-23 17:55:19.320
34,25.1922,3412.9648,161.3963,2025-11-23 17:55:19.330
35,25.2008,3406.8233,161.5949,2025-11-23 17:55:19.340
36,25.1906,3432.7855,161.6742,2025-11-23 17:55:19.350
37,25.2222,3417.1823,161.2522,2025-11-23 17:55:19.360
38,25.1924,3438.8235,161.3709,2025-11-23 17:55:19.370
39,25.2132,3410.0697,161.4847,2025-11-23 17:55:19.380
40,25.2287,3425.3439,161.4306,2025-11-23 17:55:19.390
41,25.1906,3409.268,161.4834,2025-11-23 17:55:19.400
42,25.1628,3434.9883,161.8784,2025-11-23 17:55:19.410
43,25.2164,3418.645,161.0253,2025-11-23 17:55:19.420
44,25.2004,3422.5148,160.9475,2025-11-23 17:55:19.430
45,25.2045,3408.2539,161.7571,2025-11-23 17:55:19.440
46,25.1821,3423.9502,161.2877,2025-11-23 17:55:19.450
47,25.1732,3417.1909,162.1464,2025-11-23 17:55:19.460
48,25.1842,3418.7116,161.5415,2025-11-23 17:55:19.470
49,25.2007,3419.7798,161.6155,2025-11-23 17:55:19.480
